user_id,interaction_count
5919,27
17692,27
5926,27
17890,27
30236,27
31506,27
5493,27
18233,27
33139,27
35197,27
5661,27
30357,27
25093,27
30327,27
25103,27
6933,27
22909,27
31399,27
18290,27
18294,27
25018,27
18299,27
5608,27
5769,27
18319,27
22795,27
31297,27
5760,27
22810,27
31346,27
30340,27
15694,27
31355,27
31336,27
22881,27
15717,27
15686,27
5758,27
1295,27
6962,27
32934,27
30336,27
15727,27
35193,27
15728,27
32935,27
18069,27
5694,27
5592,27
18343,27
31441,27
25148,27
1342,27
35151,27
15539,27
17943,27
31478,27
6906,27
33142,27
35159,27
3722,27
810,27
32950,27
25166,27
18518,27
25176,27
23024,27
24951,27
5843,27
18501,27
15562,27
15783,27
31470,27
5587,27
24991,27
18361,27
18014,27
22703,27
15602,27
25123,27
22698,27
22695,27
15587,27
22693,27
25127,27
17989,27
35228,27
32903,27
17986,27
32900,27
15568,27
18453,27
663,27
21858,27
6847,27
25263,27
25381,27
6089,27
401,27
25386,27
17365,27
16085,27
22050,27
19570,27
19545,27
3853,27
19604,27
4927,27
22017,27
31345,27
7276,27
25406,27
384,27
4920,27
35054,27
33183,27
25379,27
32759,27
22129,27
17427,27
19470,27
30152,27
16070,27
16071,27
19475,27
31077,27
31906,27
4999,27
23489,27
1451,27
19488,27
23493,27
19498,27
23505,27
30141,27
22090,27
30150,27
31061,27
25420,27
23593,27
3894,27
35490,27
3443,27
30067,27
30065,27
4807,27
32026,27
17227,27
19782,27
4797,27
3569,27
30058,27
23752,27
23759,27
3901,27
25454,27
19847,27
30992,27
34842,27
21891,27
21892,27
19759,27
32998,27
25428,27
17320,27
35477,27
32999,27
4879,27
17307,27
6759,27
31960,27
19709,27
31963,27
24640,27
35043,27
19727,27
35039,27
19737,27
23663,27
23679,27
17264,27
7236,27
17635,27
15121,27
3832,27
31139,27
15276,27
5984,27
31135,27
889,27
15271,27
19172,27
24788,27
3357,27
22279,27
3603,27
17536,27
19182,27
31120,27
31761,27
490,27
23360,27
895,27
31757,27
3601,27
30221,27
30432,27
5956,27
19060,27
35353,27
5957,27
7128,27
33112,27
5959,27
19083,27
35369,27
6836,27
22318,27
17596,27
25281,27
17588,27
22314,27
35361,27
7134,27
23306,27
5212,27
7158,27
3353,27
31783,27
16043,27
32780,27
5080,27
15182,27
19355,27
19358,27
